id,college, student_id, name, masters_focus, gpa, grad_date, email
67,Worcester Polytechnic Institute,4885154139,Arianna Yost,Computer Science,3.21,Sun Nov 04 2018 07:59:05 GMT-0800 (PST),arianna-yost@wpi.edu/
68,Northeastern University,8827771758,Mr. Rubie Greenfelder,Computer Engineering,3.08,Fri Aug 30 2019 05:51:15 GMT-0700 (PDT),mr.-rubie-greenfelder@northeastern.edu/
69,University of Connecticut,3812291222,Bradley Bins,Applied Mathematics,3.49,Wed Jul 17 2019 16:26:30 GMT-0700 (PDT),bradley-bins@uconn.edu/
70,University of Washington,8724404895,Macy Pollich,Computer Science,2.81,Sat Sep 21 2019 20:26:36 GMT-0700 (PDT),macy-pollich@washington.edu/
71,University of California at San Diego,8866293514,Dr. Burdette Kutch,Applied Mathematics,3.32,Tue Oct 30 2018 12:14:02 GMT-0700 (PDT),dr.-burdette-kutch@ucsd.edu/
72,University of California at Los Angeles,5660835934,Jessica Carter,Cybersecurity,3.07,Wed Apr 10 2019 00:27:12 GMT-0700 (PDT),jessica-carter@ucla.edu/
73,Stanford University,9696161696,Jovanny Greenholt,Computer Engineering,3.21,Fri Oct 04 2019 18:32:50 GMT-0700 (PDT),jovanny-greenholt@stanford.edu/
74,Stanford University,7362226558,Chadrick Dickens,Computer Science,2.68,Wed Nov 14 2018 17:40:20 GMT-0800 (PST),chadrick-dickens@stanford.edu/
75,University of Colorado at Boulder,5043995273,Hilton Kuvalis,Applied Mathematics,3.41,Wed Apr 17 2019 00:36:02 GMT-0700 (PDT),hilton-kuvalis@colorado.edu/
76,DigiPen Institute of Technology,7111251708,Lola Gutkowski,Software Engineering,2.69,Thu Apr 25 2019 04:55:35 GMT-0700 (PDT),lola-gutkowski@digipen.edu/
77,Stanford University,2301826660,Zachariah Schmidt,Computer Engineering,2.85,Thu Aug 08 2019 06:10:44 GMT-0700 (PDT),zachariah-schmidt@stanford.edu/
78,Yale University,9122917285,Della Jakubowski,Software Engineering,3.12,Fri Nov 16 2018 17:35:16 GMT-0800 (PST),della-jakubowski@yale.edu/
79,University of Texas at Austin,33830712,Tessie Ratke,Cybersecurity,3.15,Mon Oct 15 2018 18:15:18 GMT-0700 (PDT),tessie-ratke@utexas.edu/
80,Rochester Institute of Technology,93997032,Kyleigh Rosenbaum,Electrical Engineering,3.55,Sun Sep 22 2019 06:26:09 GMT-0700 (PDT),kyleigh-rosenbaum@rit.edu/
81,University of California at Davis,165038787,Vinnie Reinger,Computer Engineering,2.62,Sun Mar 31 2019 06:41:21 GMT-0700 (PDT),vinnie-reinger@ucdavis.edu/
82,Vanderbilt University,1089577073,Marilie Frami,Data Science,3.59,Tue Jun 18 2019 08:56:15 GMT-0700 (PDT),marilie-frami@vanderbilt.edu/
83,University of Maryland at College Park,5862996920,Erin Vandervort,Cybersecurity,3.1,Sun Oct 28 2018 09:20:26 GMT-0700 (PDT),erin-vandervort@umd.edu/
84,Ohio State University,421960670,Ms. Nasir Brown,Electrical Engineering,3.01,Sat Oct 27 2018 23:42:19 GMT-0700 (PDT),ms.-nasir-brown@osu.edu/
85,University of Maryland at College Park,8848067844,Blanche Hamill,Software Engineering,3.5,Thu Oct 18 2018 08:35:55 GMT-0700 (PDT),blanche-hamill@umd.edu/
86,Worcester Polytechnic Institute,5209914961,Yasmeen Lehner,Electrical Engineering,3.15,Sun Jan 06 2019 11:41:33 GMT-0800 (PST),yasmeen-lehner@wpi.edu/
87,North Carolina State University,1312687345,Eric Schmidt PhD,Computer Engineering,2.68,Sat Sep 21 2019 08:10:39 GMT-0700 (PDT),eric-schmidt-phd@ncsu.edu/
88,Purdue University,9327796441,Van Gorczany,Cybersecurity,3.24,Thu Jan 10 2019 17:12:01 GMT-0800 (PST),van-gorczany@purdue.edu/
89,Northeastern University,4003779384,Curtis Hessel,Electrical Engineering,2.87,Wed Jun 12 2019 05:57:55 GMT-0700 (PDT),curtis-hessel@northeastern.edu/
90,Ohio State University,3567624080,Judah Kuhic,Mechanical Engineering,2.55,Mon Jun 10 2019 03:35:03 GMT-0700 (PDT),judah-kuhic@osu.edu/
91,Carnegie Mellon University,8341568052,Rey Hegmann,Electrical Engineering,2.59,Mon Apr 22 2019 23:14:30 GMT-0700 (PDT),rey-hegmann@cmu.edu/
92,Rice University,1630171486,Therese Aufderhar,Electrical Engineering,3.07,Tue Jan 08 2019 13:04:09 GMT-0800 (PST),therese-aufderhar@rice.edu/
93,University of California at Los Angeles,6962995215,Domenico Feeney,Data Science,2.56,Wed Dec 26 2018 07:59:07 GMT-0800 (PST),domenico-feeney@ucla.edu/
94,Massachusetts Institute of Technology,8815735887,Theresia Lueilwitz,Cybersecurity,2.56,Fri Aug 23 2019 02:24:39 GMT-0700 (PDT),theresia-lueilwitz@mit.edu/
